gene	genome	ec.num	gene.length
trach_152 	 2 	  	 846 
trach_153 	 2 	  	 1281 
trach_154 	 2 	  	 948 
trach_155 	 2 	  	 687 
trach_156 	 2 	  	 447 
trach_157 	 2 	  	 120 
trach_160 	 2 	  	 858 
trach_161 	 2 	  	 843 
trach_162 	 2 	  	 858 
trach_163 	 2 	 2.7. 	 1845 
trach_164 	 2 	 6.5. 	 1992 
trach_165 	 2 	  	 4350 
trach_166 	 2 	  	 1524 
trach_167 	 2 	  	 135 
trach_168 	 2 	  	 948 
trach_169 	 2 	  	 1512 
trach_170 	 2 	  	 678 
trach_171 	 2 	  	 2433 
trach_172 	 2 	  	 1014 
trach_173 	 2 	  	 942 
trach_174 	 2 	  	 1215 
trach_175 	 2 	  	 642 
trach_176 	 2 	  	 852 
trach_177 	 2 	  	 504 
trach_178 	 2 	  	 741 
trach_179 	 2 	  	 189 
trach_180 	 2 	  	 1647 
trach_181 	 2 	  	 261 
trach_182 	 2 	  	 447 
trach_183 	 2 	  	 1920 
trach_184 	 2 	  	 1332 
trach_185 	 2 	  	 297 
trach_186 	 2 	  	 285 
trach_187 	 2 	  	 114 
trach_188 	 2 	 4.2. 	 1179 
trach_189 	 2 	 4.2. 	 762 
trach_190 	 2 	  	 492 
trach_191 	 2 	  	 171 
trach_192 	 2 	  	 273 
trach_193 	 2 	  	 456 
trach_194 	 2 	  	 1590 
trach_195 	 2 	  	 408 
trach_196 	 2 	  	 699 
trach_197 	 2 	  	 1215 
trach_198 	 2 	  	 513 
trach_199 	 2 	  	 693 
trach_202 	 2 	  	 711 
trach_203 	 2 	 2.7. 	 765 
trach_204 	 2 	 6.3. 	 1620 
trach_205 	 2 	  	 447 
trach_206 	 2 	 1.1. 	 1524 
trach_207 	 2 	  	 873 
trach_208 	 2 	 3.1. 	 771 
trach_209 	 2 	 2.7. 	 612 
trach_210 	 2 	 5.99 	 2511 
trach_211 	 2 	 5.99 	 2415 
trach_212 	 2 	  	 351 
trach_213 	 2 	  	 696 
trach_214 	 2 	 2.4. 	 1119 
trach_215 	 2 	  	 1413 
trach_216 	 2 	  	 1092 
trach_217 	 2 	  	 321 
trach_218 	 2 	  	 1017 
trach_219 	 2 	  	 1557 
trach_220 	 2 	  	 915 
trach_221 	 2 	  	 846 
trach_222 	 2 	  	 834 
trach_223 	 2 	  	 744 
trach_224 	 2 	  	 750 
trach_225 	 2 	  	 1416 
trach_226 	 2 	 2.7. 	 1662 
trach_227 	 2 	  	 819 
trach_228 	 2 	 2.7. 	 1554 
trach_231 	 2 	  	 1296 
trach_232 	 2 	 6.1. 	 2460 
trach_233 	 2 	  	 570 
trach_234 	 2 	 5.4. 	 1269 
trach_235 	 2 	  	 447 
trach_236 	 2 	 5.3. 	 729 
trach_237 	 2 	  	 1644 
trach_238 	 2 	  	 138 
trach_239 	 2 	 4.1. 	 1047 
trach_240 	 2 	  	 1401 
trach_241 	 2 	  	 765 
trach_242 	 2 	 3.1. 	 852 
trach_243 	 2 	  	 909 
trach_244 	 2 	  	 897 
trach_245 	 2 	 4.1. 	 579 
trach_248 	 2 	  	 132 
trach_249 	 2 	  	 390 
trach_250 	 2 	  	 813 
trach_251 	 2 	  	 444 
trach_252 	 2 	  	 369 
trach_253 	 2 	  	 396 
trach_254 	 2 	  	 141 
trach_255 	 2 	  	 402 
trach_256 	 2 	  	 591 
trach_257 	 2 	  	 648 
trach_258 	 2 	  	 1248 
trach_259 	 2 	  	 1473 
trach_260 	 2 	  	 246 
trach_261 	 2 	  	 537 
trach_262 	 2 	  	 2787 
trach_263 	 2 	  	 414 
trach_264 	 2 	  	 234 
trach_265 	 2 	 1.1. 	 747 
trach_266 	 2 	 2.3. 	 927 
trach_267 	 2 	 2.3. 	 996 
trach_268 	 2 	  	 603 
trach_269 	 2 	  	 120 
trach_270 	 2 	  	 2379 
trach_271 	 2 	  	 522 
trach_272 	 2 	  	 1071 
trach_273 	 2 	 2.3. 	 1065 
trach_274 	 2 	 1.2. 	 1023 
trach_275 	 2 	  	 987 
trach_276 	 2 	 2.3. 	 1290 
trach_277 	 2 	 2.4. 	 2445 
trach_278 	 2 	  	 351 
trach_279 	 2 	  	 1371 
trach_280 	 2 	  	 2364 
trach_281 	 2 	 2.4. 	 819 
trach_282 	 2 	  	 648 
trach_283 	 2 	  	 639 
trach_284 	 2 	  	 384 
trach_285 	 2 	  	 1245 
trach_286 	 2 	  	 1215 
trach_287 	 2 	  	 1071 
trach_288 	 2 	  	 747 
trach_289 	 2 	  	 123 
trach_290 	 2 	  	 492 
trach_291 	 2 	  	 699 
trach_292 	 2 	  	 771 
trach_293 	 2 	  	 591 
trach_294 	 2 	  	 1941 
trach_295 	 2 	 6.4. 	 975 
trach_296 	 2 	  	 1182 
trach_297 	 2 	  	 303 
trach_298 	 2 	  	 720 
trach_299 	 2 	  	 1452 
trach_300 	 2 	  	 1944 
trach_301 	 2 	  	 288 
trach_302 	 2 	 2.1. 	 903 
trach_303 	 2 	  	 567 
trach_304 	 2 	  	 420 
trach_305 	 2 	  	 1368 
trach_306 	 2 	  	 660 
trach_307 	 2 	  	 585 
trach_308 	 2 	  	 135 
trach_309 	 2 	 1.6. 	 1251 
trach_310 	 2 	 1.6. 	 951 
trach_311 	 2 	 1.6. 	 642 
trach_312 	 2 	 1.6. 	 735 
trach_313 	 2 	  	 354 
trach_314 	 2 	  	 2073 
trach_315 	 2 	  	 141 
trach_316 	 2 	  	 1419 
trach_317 	 2 	  	 720 
trach_318 	 2 	 2.1. 	 1077 
trach_319 	 2 	  	 2565 
trach_320 	 2 	  	 1692 
trach_321 	 2 	  	 1140 
trach_322 	 2 	  	 678 
trach_323 	 2 	  	 477 
trach_324 	 2 	 3.6. 	 438 
trach_325 	 2 	 6.4. 	 927 
trach_326 	 2 	 1.15 	 621 
trach_327 	 2 	  	 1782 
trach_328 	 2 	  	 468 
trach_329 	 2 	  	 141 
trach_330 	 2 	 3.1. 	 696 
trach_331 	 2 	  	 1185 
trach_332 	 2 	  	 726 
trach_333 	 2 	 2.7. 	 2763 
trach_334 	 2 	 6.1. 	 2820 
trach_335 	 2 	  	 477 
trach_336 	 2 	  	 426 
trach_337 	 2 	  	 1950 
trach_338 	 2 	  	 552 
trach_339 	 2 	  	 1266 
trach_340 	 2 	  	 1776 
trach_341 	 2 	  	 801 
trach_342 	 2 	  	 156 
trach_343 	 2 	  	 627 
trach_344 	 2 	  	 711 
trach_345 	 2 	  	 372 
trach_346 	 2 	 2.2. 	 984 
trach_347 	 2 	 2.7. 	 4191 
trach_348 	 2 	 2.7. 	 3759 
trach_349 	 2 	  	 393 
trach_350 	 2 	  	 519 
trach_351 	 2 	  	 699 
trach_352 	 2 	  	 426 
trach_353 	 2 	  	 549 
trach_354 	 2 	  	 249 
trach_356 	 2 	  	 1185 
trach_358 	 2 	  	 222 
trach_359 	 2 	  	 123 
trach_360 	 2 	  	 912 
trach_361 	 2 	  	 447 
trach_362 	 2 	  	 1662 
trach_363 	 2 	  	 189 
trach_364 	 2 	  	 183 
trach_366 	 2 	  	 627 
trach_367 	 2 	 5.3. 	 726 
trach_368 	 2 	 3.1. 	 1551 
trach_369 	 2 	  	 219 
trach_370 	 2 	  	 180 
trach_371 	 2 	 2.2. 	 1923 
trach_372 	 2 	 2.7. 	 1458 
trach_373 	 2 	 3.1. 	 5361 
trach_374 	 2 	 2.7. 	 1326 
trach_375 	 2 	  	 291 
trach_376 	 2 	 2.7. 	 1716 
trach_377 	 2 	  	 330 
trach_378 	 2 	  	 462 
trach_379 	 2 	  	 255 
trach_380 	 2 	  	 1530 
trach_381 	 2 	  	 2037 
trach_382 	 2 	  	 1179 
trach_383 	 2 	  	 177 
trach_384 	 2 	  	 633 
trach_385 	 2 	  	 117 
trach_386 	 2 	 3.4. 	 2460 
trach_387 	 2 	  	 366 
trach_388 	 2 	 3.1. 	 915 
trach_389 	 2 	  	 948 
trach_390 	 2 	  	 1587 
trach_391 	 2 	  	 591 
trach_392 	 2 	  	 1701 
trach_393 	 2 	  	 2094 
trach_394 	 2 	  	 309 
trach_395 	 2 	 3.5. 	 546 
trach_396 	 2 	 2.1. 	 834 
trach_397 	 2 	  	 1053 
trach_398 	 2 	  	 159 
trach_399 	 2 	  	 2115 
trach_401 	 2 	  	 255 
trach_402 	 2 	  	 219 
trach_403 	 2 	  	 537 
trach_404 	 2 	  	 591 
trach_405 	 2 	  	 528 
trach_406 	 2 	 4.2. 	 861 
trach_407 	 2 	 2.7. 	 1296 
trach_408 	 2 	 1.2. 	 999 
trach_409 	 2 	 1.3. 	 762 
trach_410 	 2 	  	 1728 
trach_411 	 2 	 2.5. 	 1323 
trach_412 	 2 	 2.7. 	 144 
trach_413 	 2 	 4.2. 	 1074 
trach_414 	 2 	 4.2. 	 1122 
trach_415 	 2 	 1.1. 	 1437 
trach_416 	 2 	  	 786 
trach_417 	 2 	  	 1386 
trach_418 	 2 	 4.1. 	 588 
trach_419 	 2 	  	 1452 
trach_420 	 2 	  	 1059 
trach_421 	 2 	 1.1. 	 981 
trach_422 	 2 	  	 1575 
trach_423 	 2 	  	 120 
trach_424 	 2 	  	 1344 
trach_425 	 2 	  	 801 
trach_426 	 2 	  	 774 
trach_427 	 2 	 2.5. 	 837 
trach_428 	 2 	  	 150 
trach_429 	 2 	  	 732 
trach_430 	 2 	  	 1620 
trach_431 	 2 	  	 336 
trach_432 	 2 	  	 870 
trach_433 	 2 	  	 2076 
trach_434 	 2 	  	 303 
trach_435 	 2 	  	 1224 
trach_436 	 2 	 2.6. 	 1185 
trach_437 	 2 	  	 1008 
trach_438 	 2 	  	 1134 
trach_439 	 2 	 6.1. 	 1740 
trach_440 	 2 	  	 1161 
trach_441 	 2 	  	 573 
trach_442 	 2 	  	 1983 
trach_443 	 2 	  	 123 
trach_444 	 2 	 3.1. 	 2085 
trach_445 	 2 	  	 765 
trach_446 	 2 	  	 987 
trach_447 	 2 	  	 1167 
trach_448 	 2 	  	 1239 
trach_449 	 2 	 2.7. 	 1110 
trach_450 	 2 	  	 810 
trach_451 	 2 	  	 825 
trach_452 	 2 	 2.5. 	 600 
trach_453 	 2 	  	 465 
trach_454 	 2 	  	 375 
trach_455 	 2 	 3.4. 	 504 
trach_456 	 2 	  	 1296 
trach_457 	 2 	 2.7. 	 1278 
trach_458 	 2 	 2.4. 	 1824 
trach_459 	 2 	  	 2928 
trach_460 	 2 	  	 5256 
trach_461 	 2 	  	 5313 
trach_463 	 2 	  	 831 
trach_464 	 2 	  	 711 
trach_465 	 2 	  	 1008 
trach_466 	 2 	  	 252 
trach_467 	 2 	  	 324 
trach_469 	 2 	  	 648 
trach_470 	 2 	  	 117 
trach_471 	 2 	  	 174 
trach_472 	 2 	  	 162 
trach_473 	 2 	  	 486 
trach_474 	 2 	  	 1110 
trach_475 	 2 	  	 351 
trach_476 	 2 	  	 1866 
trach_477 	 2 	  	 216 
trach_478 	 2 	  	 1110 
trach_479 	 2 	  	 822 
trach_480 	 2 	 2.1. 	 654 
trach_481 	 2 	  	 990 
trach_482 	 2 	 5.1. 	 747 
trach_483 	 2 	 3.4. 	 579 
trach_484 	 2 	 2.1. 	 1494 
trach_485 	 2 	  	 672 
trach_486 	 2 	  	 1053 
trach_487 	 2 	 4.6. 	 537 
trach_488 	 2 	  	 318 
trach_489 	 2 	  	 2085 
trach_490 	 2 	  	 474 
trach_491 	 2 	  	 372 
trach_492 	 2 	  	 339 
trach_493 	 2 	  	 120 
trach_494 	 2 	 3.4. 	 1935 
trach_495 	 2 	  	 453 
trach_496 	 2 	  	 1644 
trach_498 	 2 	 6.1. 	 1521 
trach_499 	 2 	  	 225 
trach_500 	 2 	  	 552 
trach_501 	 2 	 3.1. 	 1755 
trach_502 	 2 	  	 4203 
trach_503 	 2 	  	 333 
trach_504 	 2 	 2.5. 	 762 
trach_505 	 2 	  	 918 
trach_506 	 2 	 2.7. 	 651 
trach_507 	 2 	  	 651 
trach_508 	 2 	 6.1. 	 1692 
trach_509 	 2 	 2.5. 	 1335 
trach_510 	 2 	  	 3018 
trach_511 	 2 	  	 717 
trach_512 	 2 	  	 504 
trach_513 	 2 	  	 990 
trach_514 	 2 	  	 123 
trach_515 	 2 	  	 261 
trach_516 	 2 	  	 990 
trach_517 	 2 	 2.7. 	 660 
trach_518 	 2 	  	 675 
trach_519 	 2 	 5.4. 	 804 
trach_520 	 2 	  	 642 
trach_522 	 2 	  	 330 
trach_523 	 2 	  	 1059 
trach_524 	 2 	  	 1161 
trach_526 	 2 	  	 537 
trach_527 	 2 	  	 582 
trach_528 	 2 	  	 732 
trach_529 	 2 	  	 168 
trach_531 	 2 	  	 183 
trach_532 	 2 	  	 696 
trach_533 	 2 	  	 930 
trach_534 	 2 	 6.1. 	 2373 
trach_535 	 2 	  	 966 
trach_536 	 2 	  	 1737 
trach_537 	 2 	  	 513 
trach_538 	 2 	  	 1479 
trach_539 	 2 	  	 2091 
trach_540 	 2 	  	 165 
trach_541 	 2 	  	 732 
trach_542 	 2 	  	 162 
trach_543 	 2 	  	 654 
trach_544 	 2 	  	 123 
trach_545 	 2 	  	 201 
trach_546 	 2 	  	 999 
trach_547 	 2 	  	 189 
trach_548 	 2 	 4.99 	 945 
trach_549 	 2 	  	 750 
trach_550 	 2 	 2.1. 	 573 
trach_551 	 2 	  	 735 
trach_552 	 2 	 2.7. 	 1326 
trach_553 	 2 	  	 252 
trach_554 	 2 	 3.6. 	 1395 
trach_555 	 2 	 2.7. 	 609 
trach_556 	 2 	 2.7. 	 2601 
trach_557 	 2 	  	 996 
trach_558 	 2 	  	 1623 
trach_559 	 2 	  	 507 
trach_561 	 2 	  	 147 
trach_562 	 2 	  	 150 
trach_563 	 2 	 3.6. 	 1419 
trach_564 	 2 	  	 117 
trach_565 	 2 	  	 1833 
trach_566 	 2 	  	 702 
trach_567 	 2 	 2.7. 	 426 
trach_568 	 2 	 3.6. 	 603 
trach_569 	 2 	 3.1. 	 513 
trach_570 	 2 	  	 555 
trach_572 	 2 	  	 867 
trach_573 	 2 	 1.2. 	 1005 
trach_574 	 2 	  	 369 
trach_575 	 2 	 2.7. 	 1134 
trach_576 	 2 	  	 399 
trach_577 	 2 	  	 369 
trach_578 	 2 	  	 1374 
trach_579 	 2 	  	 435 
trach_580 	 2 	  	 498 
trach_581 	 2 	  	 372 
trach_582 	 2 	  	 552 
trach_583 	 2 	  	 402 
trach_584 	 2 	  	 543 
trach_585 	 2 	  	 336 
trach_586 	 2 	  	 369 
trach_587 	 2 	  	 252 
trach_588 	 2 	  	 219 
trach_589 	 2 	  	 417 
trach_590 	 2 	  	 675 
trach_591 	 2 	  	 336 
trach_592 	 2 	  	 267 
trach_593 	 2 	  	 855 
trach_594 	 2 	  	 336 
trach_595 	 2 	  	 669 
trach_596 	 2 	  	 666 
trach_597 	 2 	  	 138 
trach_598 	 2 	  	 897 
trach_599 	 2 	 2.1. 	 951 
trach_600 	 2 	 2.3. 	 843 
trach_601 	 2 	 4.2. 	 462 
trach_602 	 2 	 3.5. 	 861 
trach_603 	 2 	 2.3. 	 1581 
trach_604 	 2 	  	 483 
trach_605 	 2 	 2.7. 	 753 
trach_606 	 2 	  	 390 
trach_607 	 2 	  	 717 
trach_609 	 2 	  	 309 
trach_610 	 2 	  	 456 
trach_611 	 2 	 5.2. 	 732 
trach_612 	 2 	 6.1. 	 1749 
trach_613 	 2 	 6.1. 	 1287 
trach_614 	 2 	  	 261 
trach_615 	 2 	  	 1371 
trach_616 	 2 	 2.7. 	 3714 
trach_617 	 2 	  	 870 
trach_618 	 2 	  	 957 
trach_619 	 2 	  	 585 
trach_620 	 2 	  	 441 
trach_621 	 2 	  	 426 
trach_622 	 2 	  	 1032 
trach_623 	 2 	  	 138 
trach_624 	 2 	  	 120 
trach_625 	 2 	  	 408 
trach_626 	 2 	 2.1. 	 225 
trach_627 	 2 	  	 873 
trach_628 	 2 	  	 1236 
trach_629 	 2 	  	 3600 
trach_630 	 2 	  	 480 
trach_631 	 2 	  	 114 
trach_632 	 2 	 1.8. 	 1398 
trach_633 	 2 	 2.8. 	 936 
trach_634 	 2 	  	 981 
trach_635 	 2 	  	 837 
trach_636 	 2 	  	 195 
trach_637 	 2 	  	 672 
trach_638 	 2 	  	 921 
trach_639 	 2 	  	 285 
trach_640 	 2 	  	 870 
trach_641 	 2 	  	 444 
trach_642 	 2 	  	 948 
trach_643 	 2 	  	 525 
trach_644 	 2 	  	 429 
trach_646 	 2 	  	 1176 
trach_647 	 2 	  	 1482 
trach_648 	 2 	  	 2283 
trach_649 	 2 	  	 1182 
trach_650 	 2 	  	 1071 
trach_651 	 2 	  	 1731 
trach_652 	 2 	  	 699 
trach_653 	 2 	  	 360 
trach_654 	 2 	  	 1464 
trach_655 	 2 	  	 1320 
trach_656 	 2 	  	 846 
trach_657 	 2 	 6.1. 	 1908 
trach_658 	 2 	  	 768 
trach_659 	 2 	  	 792 
trach_660 	 2 	  	 552 
trach_661 	 2 	 6.1. 	 1041 
trach_662 	 2 	 3.1. 	 2007 
trach_663 	 2 	 4.2. 	 1275 
trach_664 	 2 	  	 1953 
trach_665 	 2 	  	 1809 
trach_666 	 2 	  	 2865 
trach_667 	 2 	  	 699 
trach_668 	 2 	 1.3. 	 1722 
trach_669 	 2 	  	 519 
trach_670 	 2 	 1.3. 	 192 
trach_671 	 2 	  	 792 
trach_672 	 2 	  	 2079 
trach_673 	 2 	  	 699 
trach_674 	 2 	  	 408 
trach_675 	 2 	  	 708 
trach_676 	 2 	  	 1296 
trach_677 	 2 	  	 567 
trach_678 	 2 	  	 603 
trach_679 	 2 	 1.11 	 588 
trach_680 	 2 	  	 393 
trach_682 	 2 	  	 1602 
trach_683 	 2 	  	 1230 
trach_684 	 2 	  	 126 
trach_685 	 2 	  	 228 
trach_686 	 2 	  	 630 
trach_687 	 2 	 3.2. 	 690 
trach_688 	 2 	 3.6. 	 1905 
trach_689 	 2 	  	 1311 
trach_690 	 2 	  	 681 
trach_691 	 2 	  	 672 
trach_692 	 2 	  	 480 
trach_693 	 2 	 2.7. 	 1353 
trach_694 	 2 	 4.1. 	 369 
trach_695 	 2 	  	 1710 
trach_696 	 2 	  	 1116 
trach_697 	 2 	  	 297 
trach_698 	 2 	  	 801 
trach_699 	 2 	  	 2634 
trach_700 	 2 	  	 2517 
trach_701 	 2 	  	 2499 
trach_702 	 2 	  	 1944 
trach_703 	 2 	  	 1299 
trach_704 	 2 	  	 1611 
trach_705 	 2 	  	 867 
trach_706 	 2 	  	 630 
trach_707 	 2 	  	 126 
trach_708 	 2 	  	 984 
trach_709 	 2 	  	 876 
trach_710 	 2 	  	 618 
trach_711 	 2 	  	 684 
trach_712 	 2 	  	 255 
trach_714 	 2 	  	 1590 
trach_715 	 2 	  	 114 
trach_716 	 2 	 4.2. 	 834 
trach_717 	 2 	 1.6. 	 1398 
trach_718 	 2 	  	 435 
trach_719 	 2 	  	 2148 
trach_721 	 2 	  	 1203 
trach_722 	 2 	  	 696 
trach_723 	 2 	  	 210 
trach_724 	 2 	 3.1. 	 3081 
trach_725 	 2 	  	 2826 
trach_726 	 2 	  	 1680 
trach_727 	 2 	  	 804 
trach_728 	 2 	  	 117 
trach_729 	 2 	  	 150 
trach_730 	 2 	 5.99 	 2574 
trach_731 	 2 	  	 1005 
trach_732 	 2 	  	 1380 
trach_733 	 2 	  	 579 
trach_734 	 2 	  	 1275 
trach_735 	 2 	 6.3. 	 537 
trach_736 	 2 	  	 1059 
trach_737 	 2 	  	 156 
trach_738 	 2 	  	 1827 
trach_739 	 2 	 3.1. 	 1491 
trach_740 	 2 	  	 180 
trach_741 	 2 	  	 720 
trach_742 	 2 	  	 489 
trach_743 	 2 	 2.5. 	 810 
trach_745 	 2 	  	 141 
trach_746 	 2 	  	 294 
trach_747 	 2 	  	 240 
trach_748 	 2 	 5.4. 	 1005 
trach_749 	 2 	  	 237 
trach_750 	 2 	  	 1473 
trach_751 	 2 	  	 1818 
trach_752 	 2 	  	 1008 
trach_753 	 2 	  	 147 
trach_754 	 2 	  	 402 
trach_755 	 2 	  	 2490 
trach_756 	 2 	  	 252 
trach_757 	 2 	  	 252 
trach_758 	 2 	  	 450 
trach_759 	 2 	  	 672 
trach_760 	 2 	 3.6. 	 1233 
trach_761 	 2 	  	 507 
trach_762 	 2 	  	 852 
trach_763 	 2 	  	 1122 
trach_764 	 2 	  	 1395 
trach_765 	 2 	  	 2766 
trach_767 	 2 	  	 1071 
trach_768 	 2 	  	 522 
trach_771 	 2 	  	 540 
trach_772 	 2 	 2.7. 	 738 
trach_773 	 2 	  	 849 
trach_774 	 2 	  	 849 
trach_776 	 2 	  	 1182 
trach_777 	 2 	  	 120 
trach_778 	 2 	  	 3129 
trach_779 	 2 	  	 126 
trach_780 	 2 	  	 1008 
trach_781 	 2 	  	 1452 
trach_782 	 2 	  	 768 
trach_783 	 2 	  	 1188 
trach_784 	 2 	  	 1206 
trach_785 	 2 	  	 831 
trach_786 	 2 	  	 846 
trach_787 	 2 	  	 966 
trach_788 	 2 	  	 675 
trach_789 	 2 	  	 1281 
trach_790 	 2 	  	 114 
trach_791 	 2 	 2.7. 	 1212 
trach_792 	 2 	  	 972 
trach_793 	 2 	  	 1197 
trach_794 	 2 	  	 636 
trach_795 	 2 	  	 1179 
trach_796 	 2 	 3.6. 	 1335 
trach_797 	 2 	 4.1. 	 906 
trach_798 	 2 	  	 1299 
trach_799 	 2 	  	 120 
trach_800 	 2 	  	 2910 
trach_801 	 2 	  	 528 
trach_802 	 2 	  	 1473 
trach_803 	 2 	  	 1233 
trach_804 	 2 	  	 1260 
trach_805 	 2 	  	 561 
trach_806 	 2 	 5.2. 	 1329 
trach_808 	 2 	  	 117 
trach_809 	 2 	  	 3492 
trach_810 	 2 	  	 1065 
trach_811 	 2 	  	 1800 
trach_812 	 2 	  	 2304 
trach_813 	 2 	  	 1173 
trach_814 	 2 	  	 1023 
trach_815 	 2 	  	 1005 
trach_816 	 2 	  	 1368 
trach_817 	 2 	  	 366 
trach_818 	 2 	  	 1305 
trach_819 	 2 	  	 513 
trach_820 	 2 	  	 999 
trach_821 	 2 	  	 783 
trach_822 	 2 	  	 1155 
trach_823 	 2 	 5.4. 	 681 
trach_824 	 2 	 5.4. 	 726 
trach_825 	 2 	  	 525 
trach_826 	 2 	 6.3. 	 555 
trach_827 	 2 	  	 1140 
trach_828 	 2 	 3.6. 	 1980 
trach_829 	 2 	  	 747 
trach_830 	 2 	 6.1. 	 1287 
trach_831 	 2 	 3.5. 	 1128 
trach_832 	 2 	 3.5. 	 1275 
trach_833 	 2 	 6.3. 	 474 
trach_834 	 2 	  	 1347 
